F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F28.1,F29,Target
52.5,57.2,47.6,75.2,44.6,21.6,5105.301,109.493,5.347,4110.0,64.986,99.58488,95.50092000000001,4.2,59.79999924,10.9,53.6,36.7,8.2,1.7,18.8,7.1,6.6,87.0,86.5,94.0,97.0,90.0,98.0,99.0,94.3
32.8,35.4,30.1,63.9,28.2,18.7,32272.974,620.253,20.779,2970.0,72.15,56.08367213,94.14564,15.4,52.0,31.0,65.6,14.7,3.1,3.05,14.9,2.3,10.7,87.0,21.2,83.0,98.0,61.0,70.0,83.0,81.3
13.8,14.9,12.6,14.0,11.9,8.6,86.879,156.3825,0.019,11130.0,72.73599999999999,91.83646335,95.50092000000001,9.25,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,94.0,100.0,90.0,85.0,98.0,16.6
15.2,16.8,13.5,46.5,13.1,6.3,6227.491,125.686,2.055,3480.0,72.196,84.4927239,95.34208,8.7,32.8,31.4,71.9,54.0,5.5,0.7,19.2,1.0,5.7,87.0,62.0,88.0,94.0,76.0,87.0,89.0,60.2
98.8,103.3,94.1,75.1,63.8,31.7,4139.748,144.632,13.782,2270.0,57.379,89.84058250999999,90.83139,13.1,38.7,19.1,78.1,21.3,11.4,2.9,30.0,7.6,8.5,87.0,82.0,71.0,95.0,32.0,18.0,20.0,118.8
4.0,4.4,3.6,6.8,3.4,2.6,16664.746,181.452,0.69,49730.0,80.734,89.84058250999999,99.97781,9.25,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,100.0,100.0,100.0,100.0,100.0,8.3
8.7,9.0,8.4,35.8,7.3,5.1,2846.145,49.502,0.496,19260.0,72.974,86.62114302,98.17402,11.5,84.80000305,34.0,91.1,72.7,8.6,1.0,9.8,7.1,1.7,87.0,68.5,89.0,93.0,78.0,99.0,100.0,47.5
52.5,57.2,47.6,75.2,44.6,21.6,5105.301,109.493,5.347,4110.0,64.986,99.58488,95.50092000000001,4.2,59.79999924,10.9,53.6,36.7,8.2,1.7,18.8,7.1,6.6,87.0,86.5,94.0,97.0,90.0,98.0,99.0,94.3
4.2,4.5,3.9,9.3,3.5,2.5,46454.895,499.105,2.14,30990.0,81.404,97.74889615,99.76303,9.25,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,100.0,100.0,100.0,100.0,100.0,10.9
57.8,60.4,55.0,64.3,44.8,22.6,7013.829,208.495,11.944,1480.0,62.791,60.60985,95.50092000000001,10.6,51.5,56.1,75.9,71.6,18.4,5.3,42.6,4.7,3.4,12.0,91.9,40.0,87.0,33.0,45.0,71.0,88.0
4.4,4.7,4.1,11.5,3.7,2.7,11390.031,117.228,0.543,25030.0,79.915,97.18821,95.50092000000001,9.25,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,100.0,100.0,99.0,98.0,99.0,12.7
15.7,17.3,14.0,38.1,13.4,7.0,114793.341,2194.666,33.832,9240.0,76.954,93.06893868,99.55391,7.3,18.2,18.63,27.4,37.2,3.4,3.05,15.5,2.0,7.6,87.0,91.0,96.0,97.0,91.0,85.0,87.0,48.8
16.9,18.8,14.9,35.2,14.5,8.3,317.928,7.727,0.13,3690.0,76.072,89.84058250999999,97.25941,13.5,50.6,10.2,66.44999999999999,26.8,4.3,0.7,21.6,1.8,13.7,87.0,68.25,98.0,98.0,99.0,90.0,93.0,43.9
3.3,3.6,3.0,6.8,2.8,0.9,86.165,156.3825,0.003,41750.0,72.73599999999999,89.84058250999999,78.89855,9.25,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,100.0,100.0,100.0,100.0,100.0,8.3
40.0,55.7,23.9,32.4,32.4,21.7,10.308,156.3825,0.008,4730.0,72.73599999999999,89.84058250999999,95.50092000000001,27.0,76.4,67.2,64.5,64.9,4.8,0.8,24.0,1.0,2.6,87.0,68.25,88.0,88.0,90.0,65.0,65.0,40.0
9.6,10.5,8.7,34.0,8.7,6.4,2063.893,21.955,0.215,4730.0,74.847,97.26855,98.20126,5.5,21.0,23.0,40.5,12.8,1.3,0.2,4.9,1.8,16.2,87.0,94.0,100.0,100.0,99.0,88.0,92.0,37.6
77.0,82.3,71.5,118.2,51.5,31.3,84734.262,2613.323,193.937,400.0,59.274,38.99598154,82.20053,20.3,51.5,52.0,54.5,82.3,28.7,8.8,44.4,9.7,1.7,71.0,15.4,44.0,97.0,34.0,21.0,29.0,198.3
5.6,6.0,5.1,6.8,4.9,3.6,34349.561,387.636,2.242,45560.0,81.012,89.84058250999999,95.50092000000001,5.8,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,100.0,100.0,99.0,100.0,100.0,8.3
7.2,7.7,6.7,15.6,6.5,4.7,632.261,7.674,0.056,7060.0,74.573,98.37513,83.21752,3.9,25.20000076,19.3,35.3,12.8,1.7,0.5,7.0,4.1,15.6,87.0,70.7,98.0,99.0,96.0,90.0,92.0,17.6
3.1,3.4,2.8,6.9,2.6,1.8,4924.848,60.783,0.197,88890.0,81.097,89.84058250999999,99.14498,4.9,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,100.0,100.0,100.0,100.0,100.0,8.4
61.3,58.8,64.1,81.0,47.2,32.3,1241491.96,27098.275,1655.394,1410.0,65.438,62.75447457,98.15581,27.6,40.5,46.4,56.1,76.8,42.5,15.8,48.0,19.8,1.9,66.0,71.1,92.0,97.0,90.0,34.0,58.0,114.2
14.1,15.5,12.7,24.4,12.6,7.5,40764.561,693.484,9.98,9740.0,75.901,97.79871,95.50092000000001,7.14,51.5,34.0,66.44999999999999,28.0,2.3,0.4,8.2,1.2,9.9,87.0,68.25,94.0,98.0,90.0,85.0,92.0,27.6
3.7,4.1,3.3,16.3,2.8,1.7,1340.537,16.226,0.061,15200.0,74.825,99.79558,96.27517,4.3,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,98.0,99.0,97.0,95.0,96.0,20.1
9.2,10.0,8.4,34.4,7.9,5.4,28082.541,604.76,6.0,17820.0,73.911,86.55028,89.9292,9.25,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.1,87.0,68.25,94.0,97.0,90.0,85.0,100.0,42.7
63.3,70.0,56.3,89.1,52.8,24.7,6976.958,194.103,12.063,870.0,67.529,99.69151,97.75741,9.7,57.1,25.4,15.3,34.2,15.0,6.0,39.2,6.7,6.6,99.0,61.9,64.0,92.0,54.0,94.0,95.0,114.3
7.2,7.9,6.5,9.2,5.6,3.9,405.938,7.63,0.053,31800.0,78.005,95.21942,95.50092000000001,9.25,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,94.0,98.0,90.0,85.0,92.0,12.3
2.5,2.8,2.2,5.2,1.7,1.1,324.366,4.779,0.012,35020.0,81.804,89.84058250999999,99.44382,3.8,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,100.0,100.0,100.0,100.0,100.0,6.3
18.7,20.9,16.3,24.6,16.0,7.7,183.874,4.457,0.08,3190.0,72.444,98.79438,95.08476,10.2,87.6,51.3,71.1,73.9,11.75,3.05,28.5,5.2,6.6,87.0,68.25,96.0,96.0,96.0,98.0,98.0,29.5
89.9,96.8,82.8,106.1,57.9,27.6,34509.205,1545.11,130.933,510.0,54.116,73.21187991,90.99074,14.0,42.20000076,62.0,75.2,45.8,13.8,3.4,33.4,4.7,3.4,60.0,95.8,72.0,95.0,68.0,34.0,34.0,178.0
12.5,13.9,11.0,30.6,10.8,7.5,21436.495,220.534,2.834,7910.0,73.979,97.67535,87.58664,8.0,51.5,15.8,41.0,37.2,3.5,0.8,12.8,3.5,8.3,87.0,74.0,94.0,99.0,90.0,85.0,92.0,37.4
41.9,44.3,39.4,102.1,33.8,17.5,6288.037,140.398,5.892,1130.0,67.484,72.7022592,96.79809,10.8,29.79999924,26.0,40.5,48.0,31.1,9.0,47.7,7.4,1.3,92.0,83.8,67.0,77.0,62.0,63.0,89.0,147.7
77.6,82.8,72.2,76.2,51.8,29.5,24965.816,776.01,59.658,1410.0,64.228,67.27296,84.23172,13.4,52.3,62.8,75.8,43.9,13.9,3.1,28.0,8.5,5.9,87.0,32.4,86.0,91.0,80.0,14.0,19.0,120.9
